Key,File,Type,UsedInMainMenu,NoTranslate,english
perkDeadEyeRank1LongDesc,progression,perk Per,,,"Pot Shot. You can hit the broad side of a barn and do 10% more damage with rifles. Craft quality 2 poor rifles, aim and reload 10% faster.\nUnlocks hunting rifle crafting."
perkDemolitionsExpertRank1LongDesc,progression,perk Per,,,"You are now a grenadier initiate, be careful with those explosives. Increase damage 10%, reload speed 15%, aim 10% faster, 50% chance to stun enemies and a 5% greater chance to dismember.\nCraft pipe bombs, pressure plate and cooking pot mines."
perkDemolitionsExpertRank2LongDesc,progression,perk Per,,,"Increase damage by 20%, reload speed 20%, aim 20% faster, 100% chance to stun enemies, and a 10% greater chance to dismember.\nCraft dynamite and hubcap land mines."
perkDemolitionsExpertRank3LongDesc,progression,perk Per,,,"You are now an explosives handler. Increase damage 30%, increase reload speed by 25%, aim 30% faster, have a 33% chance to cripple enemies and a 20% greater chance to dismember.\nCraft grenades and more efficient stacks of gunpowder."
perkDemolitionsExpertRank4LongDesc,progression,perk Per,,,"You are now a Rocket Man. Increase damage 40%, reload speed by 30%, aim 40% faster, have a 66% chance to cripple enemies and a 30% greater chance to dismember.\nCraft high explosive rockets and anti-personnel fragmentation rockets."
perkDemolitionsExpertRank5LongDesc,progression,perk Per,,,"Demolitions expert. You make things go boom in a big way. Increase damage 50%, reload speed by 35%, aim 50% faster and a 45% greater chance to dismember. Stun lasts longer on enemies.\nCraft timed charges, contact grenades and air filter land mines."
perkJavelinMasterRank1LongDesc,progression,perk Per,,,"Sticks and stones can't break my bones, but if combined make a nice spear. Spears do 10% more damage and power attacks have a 20% chance to slow enemies. Stamina costs are reduced by 8% and 15% for power attacks. Find more spears and parts in loot.\nUnlocks iron spear crafting."
perkLockPickingRank1LongDesc,progression,perk Per,,,"Burglar. You are starting to make a name for yourself. You can pick locks 20% faster and have a 10% lower chance to break lockpicks. Craft lockpicks."
perkSalvageOperationsRank1LongDesc,progression,perk Per,,,"Who knows what useful items can be found when tearing things apart? Salvage tools deal 10% more damage, harvest 20% faster, and gain up to 20% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 8% and 15% for power attacks. Find more salvage tools and parts in loot.\nUnlocks wrench crafting."
perkBoomstickRank1LongDesc,progression,perk Str,,,"Maybe your aim isn't so good or you just like doing a lot of damage up close and personal. Either way a hobo with a shotgun is not to be messed with. Shotguns deal 10% more damage, 10% faster fire rate, and 10% faster reload. Stun enemies for 6 seconds.\nIncreases chance to dismember by 5%.\nUnlocks double barrel shotgun crafting."
